,ID,community,CPDB,NicheNet
252,ADCYAP1_CRHR2,False,False,True
253,CXCL10_OPRK1,False,False,True
254,COL5A2_DDR2,True,False,False
255,PF4_CCR4,False,False,True
256,EDN2_LPAR2,False,False,True
257,COL7A1_ITGA2,True,True,False
258,COPA_FOLR1,False,False,True
259,CCL26_ACKR2,True,False,False
260,RLN1_VIPR1,False,False,True
261,LRRTM2_TREML2,True,False,False
262,NMU_CCKBR,False,False,True
263,COL13A1_ITGA11,False,True,False
264,HMGB2_DSG2,False,False,True
265,PTH_VIPR1,True,False,True
266,SEMA4A_PLXNB2,True,False,False
267,CDH2_LRP5,False,False,True
268,GDNF_GFRA4,False,False,True
269,TPH1_HTR1A,True,False,True
270,SST_MRGPRX2,True,False,False
271,CALM2_KCNQ3,True,False,False
272,AGT_CCR1,False,False,True
273,PPBP_TAS2R38,False,False,True
274,C5_SSTR1,False,False,True
275,KL_FGFR3,True,False,True
276,NPB_GALR2,False,False,True
277,CXCL5_TAS2R41,False,False,True
278,RLN3_GRM7,True,False,True
279,F2_AVPR1B,False,False,True
280,AGT_GRM7,True,False,True
281,CXCL2_TAS2R38,False,False,True
282,AVP_UTS2R,False,False,True
283,PPY_TAS2R31,False,False,True
284,INSL5_P2RY4,False,False,True
285,COL8A1_ITGB1,False,True,False
286,CXCL12_LPAR3,False,False,True
287,L1CAM_L1CAM,False,False,True
288,CEACAM8_BTN2A2,True,False,False
289,WNT7B_FZD3,True,True,True
290,PCDHA7_PCDHGB1,False,False,True
291,IMPG2_PRLR,True,False,False
292,C3_NPY5R,False,False,True
293,CCL5_S1PR3,False,False,True
294,GDF3_BMPR1B,True,False,False
295,PROK1_NTSR1,False,False,True
296,XCL1_HTR2C,False,False,True
297,SST_CHRM4,False,False,True
298,POMC_GPR20,True,False,True
299,TRH_PROKR1,False,False,True
300,PROK1_P2RY2,False,False,True
301,TIMP1_CD63,True,False,False
302,FGF9_FGFR1,True,False,True
303,CCL19_HCAR3,False,False,True
304,GCG_FSHR,False,False,True
305,AGT_TAS2R14,False,False,True
306,RLN3_TAS2R3,False,False,True
307,LNX1_CASR,True,False,False
308,GCG_ADRA1A,False,False,True
309,AGT_TAS2R41,False,False,True
310,POMC_OPRL1,True,False,True
311,FGFR3_FGFR2,False,True,False
312,CTGF_LRP1,False,False,True
313,FARP2_PLXNA3,True,False,False
314,FGF13_FGFR3,True,False,True
315,LAMC3_ITGA3,True,False,True
316,SAA1_GRPR,False,False,True
317,CD2_PTPRC,False,False,True
318,VEGFA_PIK3CB,False,False,True
319,CXCL11_BDKRB1,False,False,True
320,IL6R_LRTM2,True,False,False
321,TNFSF9_ADGRG5,True,True,False
322,MLN_MLNR,True,True,True
323,CYR61_PLXNA3,False,False,True
324,POMC_AVPR2,False,False,True
325,LTF_NTRK1,False,False,True
326,NPS_MCHR1,False,False,True
327,QRFP_F2RL2,False,False,True
328,GNRH1_PTAFR,False,False,True
329,NAMPT_NTRK1,True,True,True
330,CCL21_P2RY4,False,False,True
331,CCL27_TAS2R40,False,False,True
332,NTN4_UNC5D,False,True,False
333,DRAXIN_WNT1,True,False,False
334,DBH_ADRA2A,False,True,False
335,FLNA_GRM4,True,False,False
336,GAST_CYSLTR1,False,False,True
337,CXCL13_HRH3,False,False,True
338,SCT_PTH1R,True,False,True
339,WNT9B_FZD5,True,True,False
340,PVR_CDH1,False,False,True
341,PMCH_TAS2R60,False,False,True
342,KNG1_CXCR3,False,False,True
343,EGF_NRG1,False,True,False
344,CDH13_NCAM2,True,False,False
345,CALCA_ADCYAP1R1,True,False,True
