,ID,community,CPDB,NicheNet
743,PDGFC,True,True,True
744,BST1,True,False,False
745,SCN2B,True,False,False
746,AMHR2,True,True,True
747,RXRA,True,True,False
748,P2RY6,False,True,False
749,JAK1,True,False,False
750,FZD7,True,True,True
751,SMAD3,True,False,False
752,LY96,True,False,False
753,F7,True,False,True
754,LAMA4,True,False,False
755,CCL3,True,True,True
756,CDH15,False,False,True
757,ADRA2A,True,True,False
758,PVR,True,True,True
759,FARP2,True,False,False
760,CLEC14A,True,False,False
761,CXCL14,True,True,False
762,IFNA2,True,True,True
763,RAMP2,True,True,True
764,TRPV6,True,False,False
765,PLXDC2,True,False,False
766,GUCA2A,True,True,True
767,DBP,True,False,False
768,CHRNA3,True,True,False
769,SRD5A3,False,True,False
770,BMP7,True,True,True
771,CATSPERD,False,True,False
772,LRRC4,True,False,True
773,MEPE,True,False,False
774,CALM3,True,False,True
775,SDC2,True,False,True
776,PSAP,True,True,True
777,HLA-F,True,True,True
778,NOTCH4,True,True,True
779,AKR1D1,False,True,False
780,ADRB3,True,True,False
781,PTPRF,True,False,True
782,ADRA1D,False,True,False
783,ITGAL,True,True,True
784,CDH4,False,False,True
785,CATSPER4,False,True,False
786,NLGN3,True,False,True
787,NTNG2,True,False,True
788,FCGR1A,True,False,False
789,CD160,True,True,False
790,KCNJ15,True,False,False
791,BEX3,True,False,False
792,COL20A1,False,True,False
793,AANAT,True,False,True
794,GPR101,False,True,False
795,MFNG,True,False,False
796,IFNL2,True,True,True
797,LAIR2,True,False,False
798,PGR,False,True,False
799,VSIG10L,True,False,False
800,GPRC5B,False,True,False
801,NELL2,True,True,False
802,CP,True,False,False
803,GP1BA,True,True,True
804,TCN1,True,False,False
805,LCN1,True,False,False
806,SIGLEC6,True,False,False
807,CYSLTR1,False,True,False
808,DRD4,True,True,False
809,AGER,True,True,False
810,HLA-DQA1,True,False,False
811,WNT9B,True,True,False
812,TNC,True,True,True
813,TRH,True,True,True
814,NCR1,True,False,False
815,QRFPR,True,True,True
816,C1QTNF1,True,False,False
817,GPNMB,True,False,False
818,ST14,True,False,False
